A	0	4
A	1	10
A	2	7
A	3	6
A	4	8
A	5	7
A	6	8
A	7	10
A	8	2
A	9	6
A	10	7
A	11	3
A	12	6
A	13	10
A	14	10
A	15	9
A	16	7
A	17	6
A	18	3
X	0	2
X	4	7
X	10	5
X	14	6
X	16	0
X	3	4
X	16	4
X	18	0
X	10	1
X	2	2
X	16	3
X	18	1
X	0	2
X	16	4
X	14	1
X	2	5
X	0	3
X	7	3
X	14	8
X	2	2
X	12	1
X	13	7
X	11	2
X	15	1
X	3	2
X	4	7
X	16	6
X	0	3
X	5	5
X	16	2
X	1	7
X	17	3
X	1	1
X	6	2
X	1	8
X	14	1
X	9	1
X	6	2
X	10	2
X	1	2
X	8	1
X	6	0
X	10	4
X	8	0
X	14	5
X	13	0
X	5	6
X	13	3
X	12	5
X	15	1
X	4	6
X	1	5
X	13	4
X	7	5
X	6	7
X	13	8
X	8	0
X	12	1
X	4	5
X	5	0
X	4	1
X	0	1
X	1	6
X	6	3
X	18	2
X	18	1
X	8	0
X	3	2
X	18	1
X	5	6
X	12	3
X	5	3
X	10	3
X	1	3
X	3	3
X	0	3
X	2	5
X	5	1
X	5	0
X	10	2
X	11	1
X	7	0
X	17	3
X	4	3
X	14	0
X	5	5
X	5	0
X	11	0
X	8	1
X	7	2
X	17	5
X	12	5
X	3	5
X	13	6
X	11	2
X	10	2
X	0	2
X	7	0
X	0	0
X	14	0
X	10	1
X	12	2
X	4	4
X	5	0
X	8	0
F	9	0
F	2	5
F	2	4
F	12	4
F	9	5
F	5	0
F	5	1
F	6	2
F	8	1
F	3	2
F	11	0
F	4	5
F	18	1
F	9	0
F	5	6
F	18	0
F	15	0
F	16	6
F	14	9
F	9	1
F	18	1
F	10	0
F	7	8
F	14	5
F	18	1
F	3	2
F	18	0
F	13	1
F	10	0
F	6	2
F	15	2
F	4	2
F	13	2
F	12	0
F	1	8
X	4	5
X	11	0
X	12	1
X	7	7
X	7	3
X	10	2
X	1	1
X	5	0
X	0	0
X	9	2
X	4	1
X	0	1
X	12	0
X	14	7
X	6	6
X	0	3
X	10	5
X	14	4
X	9	2
X	14	3
X	18	2
X	1	5
X	17	4
X	5	5
X	4	1
X	0	0
X	6	1
X	0	3
X	0	2
X	17	4
X	0	3
X	0	3
X	10	6
X	17	4
X	14	1
X	2	3
X	17	5
X	14	6
X	7	7
X	15	0
X	14	3
X	13	9
X	1	4
X	1	9
X	2	0
X	5	0
X	13	8
X	10	2
X	3	2
X	0	0
X	15	2
X	6	2
X	9	0
X	14	2
X	1	9
X	12	1
X	8	0
X	2	3
X	4	7
X	7	5
X	1	6
X	16	2
X	8	1
X	10	0
X	13	7
X	3	1
X	3	2
X	6	5
A	19	8
A	20	6
A	21	5
A	22	7
A	23	3
A	24	6
A	25	4
A	26	5
A	27	8
A	28	1
A	29	2
A	30	6
A	31	5
A	32	8
A	33	7
A	34	6
A	35	9
A	36	5
A	37	9
A	38	3
A	39	9
A	40	6
A	41	2
A	42	7
A	43	9
A	44	8
A	45	4
A	46	4
A	47	7
A	48	2
A	49	4
A	50	7
A	51	3
A	52	7
A	53	7
A	54	3
A	55	3
A	56	10
A	57	1
A	58	7
A	59	9
A	60	1
A	61	3
A	62	5
A	63	1
A	64	6
A	65	7
A	66	10
A	67	4
A	68	2
A	69	9
A	70	6
A	71	10
A	72	4
A	73	10
A	74	9
A	75	4
A	76	9
A	77	8
A	78	10
A	79	3
A	80	10
A	81	1
A	82	4
A	83	1
A	84	6
A	85	10
A	86	5
A	87	5
A	88	5
A	89	3
A	90	3
A	91	6
A	92	8
A	93	6
A	94	10
A	95	1
A	96	1
A	97	9
A	98	1
A	99	7
A	100	5
A	101	5
A	102	6
A	103	3
A	104	4
A	105	1
A	106	8
A	107	5
A	108	3
A	109	8
A	110	1
A	111	6
A	112	10
A	113	6
A	114	7
A	115	1
A	116	3
A	117	3
A	118	5
A	119	8
A	120	8
A	121	1
A	122	5
A	123	10
A	124	4
A	125	1
A	126	5
A	127	7
A	128	10
A	129	8
A	130	9
A	131	7
A	132	6
X	9	0
X	28	0
X	43	8
X	103	2
X	95	0
X	41	0
X	128	7
X	34	0
X	43	3
X	83	0
X	91	4
X	84	2
X	48	1
X	99	1
X	74	1
X	11	2
X	0	2
X	8	0
X	2	0
X	92	5
X	77	5
X	8	1
X	89	1
X	34	0
X	47	4
X	124	0
X	131	0
X	34	1
X	45	2
X	68	0
X	17	1
X	42	5
X	35	6
X	33	6
X	84	1
X	88	0
X	82	1
X	22	3
X	53	0
X	43	3
X	35	8
X	5	3
X	88	1
X	13	2
X	57	0
X	118	1
X	58	5
X	13	6
X	95	0
X	51	1
X	65	1
X	95	0
X	114	4
X	75	2
X	101	3
X	7	1
X	118	0
X	58	5
X	25	2
X	85	2
X	94	9
X	13	1
X	82	0
X	5	1
X	40	3
X	28	0
X	10	4
X	38	2
X	96	0
F	16	4
X	37	7
X	51	1
X	111	3
X	100	4
X	112	1
X	105	0
X	7	2
X	35	5
X	125	0
X	110	0
X	107	4
X	54	0
X	114	2
X	11	2
X	2	3
X	90	2
X	92	2
X	128	4
X	94	1
X	58	0
X	84	2
X	114	4
X	101	3
X	6	3
